Name,Population (2011),Median Age (2011),Household Income (2011),Unemployment Rate (2011),Median Rent (2011),Median Home Value (2011),Population (2012),Median Age (2012),Household Income (2012),Unemployment Rate (2012),Median Rent (2012),Median Home Value (2012),Population (2013),Median Age (2013),Household Income (2013),Unemployment Rate (2013),Median Rent (2013),Median Home Value (2013),Population (2014),Median Age (2014),Household Income (2014),Unemployment Rate (2014),Median Rent (2014),Median Home Value (2014),Population (2015),Median Age (2015),Household Income (2015),Unemployment Rate (2015),Median Rent (2015),Median Home Value (2015)
Alabama,4747424,37.7,42934,4.54020959577236,469,120800,4777326.0,37.8,43160.0,4.8306939907387525,488.0,122300.0,4799277.0,38.1,43253.0,5.040967629082464,501.0,122500.0,4817678.0,38.2,43511.0,4.747432269238417,511.0,123800.0,733375.0,33.4,72515.0,4.265893983296404,1030.0,250000.0
Alaska,700703,33.8,69014,4.414423800097902,913,235100,711139.0,33.8,69917.0,4.4110926274610165,950.0,237900.0,720316.0,33.6,70760.0,4.572854136240205,978.0,241800.0,728300.0,33.4,71829.0,4.407112453659207,1012.0,246300.0,4830620.0,38.4,43623.0,4.287172247040752,520.0,125500.0
Arizona,6337373,35.7,50752,4.234609514068369,742,197400,6410979.0,36.0,50256.0,4.619138512230347,742.0,175900.0,6479703.0,36.3,49774.0,4.882322538548449,747.0,165100.0,6561516.0,36.5,49928.0,4.634096754469546,753.0,162900.0,2958208.0,37.7,41371.0,3.5475193089870625,498.0,111400.0
Arkansas,2895928,37.3,40149,3.940015083247926,455,105100,2916372.0,37.4,40531.0,4.023972250453646,468.0,106300.0,2933369.0,37.5,40768.0,4.132961110586496,480.0,107300.0,2947036.0,37.6,41264.0,3.905279745479865,492.0,108700.0,6641928.0,36.8,50255.0,4.151083841920599,760.0,167500.0
California,36969200,35.1,61632,5.0552108241455045,1083,421600,37325068.0,35.2,61400.0,5.517589412027327,1110.0,383900.0,37659181.0,35.4,61094.0,5.75866214403335,1119.0,366400.0,38066920.0,35.6,61489.0,5.476051122601986,1138.0,371400.0,38421464.0,35.8,61818.0,4.92193894537699,1149.0,385500.0
Colorado,4966061,35.9,57685,4.093364942557089,771,236700,5042853.0,36.1,58244.0,4.3312585157647865,802.0,236800.0,5119329.0,36.1,58433.0,4.526784662599336,825.0,236200.0,5197580.0,36.2,59448.0,4.21813613258478,848.0,239400.0,5278906.0,36.3,60629.0,3.704896431192372,880.0,247800.0
Connecticut,3558172,39.8,69243,4.598822091793202,845,293100,3572213.0,40.0,69519.0,4.974675362303424,867.0,285900.0,3583561.0,40.2,69461.0,5.321773509645852,880.0,278900.0,3592053.0,40.3,69899.0,5.19443894619595,890.0,274500.0,3593222.0,40.4,70331.0,4.794916651406454,895.0,270500.0
Delaware,890856,38.6,59317,3.9547356699623735,802,244100,900131.0,38.7,60119.0,4.287264853671299,812.0,241100.0,908446.0,38.9,59878.0,4.535987829766436,828.0,235800.0,917060.0,39.1,60231.0,4.342027784441585,840.0,232900.0,647484.0,33.7,70848.0,5.530793038901347,1234.0,475800.0
District of Columbia,593955,34.1,61835,5.639316109806298,1043,442600,605759.0,33.9,64267.0,5.980596243720687,1113.0,443000.0,619371.0,33.8,65830.0,6.295741970482958,1154.0,445200.0,633736.0,33.7,69235.0,6.074453715742833,1211.0,454500.0,926454.0,39.3,60509.0,3.909854131991443,845.0,231500.0
Florida,18688787,40.5,47827,5.072977716531308,825,188600,18885152.0,40.8,47309.0,5.559388666821427,833.0,170800.0,19091156.0,41.0,46956.0,5.741024797031673,838.0,160200.0,19361792.0,41.2,47212.0,5.29344081374286,843.0,156200.0,19645772.0,41.4,47507.0,4.662458670496634,851.0,159000.0
